,Delta,L,l_a,dx,dy,alpha,beta,gamma,phi_f,H_b,f_H,N_aqt,f_aqt,l_conf,N_pal,s_pal,l_tra,t_tra,N_chan,l_surf_end,Kaqf_type,Kaqt_type,R,riv_res,Kh_aqf,Kh_Kv,index,n,Kv_aqt
20,Rhine-Meuse,331039.19047130947,0.3958419251954593,1000,1000,7.5e-05,0.000167,0.0164,0.8682856630884614,280,0.642857143,3,0.1,1.0,4,0.2,0.2,7500.0,2,0.26666666699999997,min,mid_0,0.0004999999999999999,424.26406871192825,0.1,10.0,22,0.3,0.01
21,Rhine-Meuse,331039.19047130947,0.3958419251954593,1000,1000,7.5e-05,0.000167,0.0164,0.8682856630884614,280,0.642857143,3,0.1,1.0,4,0.2,0.2,7500.0,2,0.26666666699999997,max,max,0.0004999999999999999,424.26406871192825,100.0,10.0,53,0.3,0.1
22,Rhine-Meuse,331039.19047130947,0.3958419251954593,1000,1000,7.5e-05,0.000167,0.0164,0.8682856630884614,280,0.642857143,3,0.1,1.0,4,0.2,0.2,7500.0,2,0.26666666699999997,max,min,0.0004999999999999999,424.26406871192825,100.0,10.0,53,0.3,0.001
23,Rhine-Meuse,331039.19047130947,0.3958419251954593,1000,1000,7.5e-05,0.000167,0.0164,0.8682856630884614,280,0.642857143,3,0.1,1.0,4,0.2,0.2,7500.0,2,0.26666666699999997,max,mid_0,0.0004999999999999999,424.26406871192825,100.0,10.0,53,0.3,0.01
24,Rhine-Meuse,331039.19047130947,0.3958419251954593,1000,1000,7.5e-05,0.000167,0.0164,0.8682856630884614,280,0.642857143,3,0.1,1.0,4,0.2,0.2,7500.0,2,0.26666666699999997,mid_0,max,0.0004999999999999999,424.26406871192825,3.1622776601683795,10.0,84,0.3,0.1
25,Rhine-Meuse,331039.19047130947,0.3958419251954593,1000,1000,7.5e-05,0.000167,0.0164,0.8682856630884614,280,0.642857143,3,0.1,1.0,4,0.2,0.2,7500.0,2,0.26666666699999997,mid_0,min,0.0004999999999999999,424.26406871192825,3.1622776601683795,10.0,84,0.3,0.001
26,Rhine-Meuse,331039.19047130947,0.3958419251954593,1000,1000,7.5e-05,0.000167,0.0164,0.8682856630884614,280,0.642857143,3,0.1,1.0,4,0.2,0.2,7500.0,2,0.26666666699999997,mid_0,mid_0,0.0004999999999999999,424.26406871192825,3.1622776601683795,10.0,84,0.3,0.01
27,Pearl,305788.20075879863,0.3459525269329893,1000,1000,2.8600000000000004e-05,0.001,0.022,0.4999443167554618,50,0.3,1,0.9,1.0,2,0.6,0.8,6800.0,5,0.33653846200000004,min,max,0.000274,51.26209742377916,1.0,10.0,19,0.25,0.001
28,Pearl,305788.20075879863,0.3459525269329893,1000,1000,2.8600000000000004e-05,0.001,0.022,0.4999443167554618,50,0.3,1,0.9,1.0,2,0.6,0.8,6800.0,5,0.33653846200000004,min,min,0.000274,51.26209742377916,1.0,10.0,19,0.25,8.64e-06
29,Pearl,305788.20075879863,0.3459525269329893,1000,1000,2.8600000000000004e-05,0.001,0.022,0.4999443167554618,50,0.3,1,0.9,1.0,2,0.6,0.8,6800.0,5,0.33653846200000004,min,mid_0,0.000274,51.26209742377916,1.0,10.0,19,0.25,9.295160030897809e-05
30,Pearl,305788.20075879863,0.3459525269329893,1000,1000,2.8600000000000004e-05,0.001,0.022,0.4999443167554618,50,0.3,1,0.9,1.0,2,0.6,0.8,6800.0,5,0.33653846200000004,max,max,0.000274,51.26209742377916,30.0,10.0,50,0.25,0.001
31,Pearl,305788.20075879863,0.3459525269329893,1000,1000,2.8600000000000004e-05,0.001,0.022,0.4999443167554618,50,0.3,1,0.9,1.0,2,0.6,0.8,6800.0,5,0.33653846200000004,max,min,0.000274,51.26209742377916,30.0,10.0,50,0.25,8.64e-06
32,Pearl,305788.20075879863,0.3459525269329893,1000,1000,2.8600000000000004e-05,0.001,0.022,0.4999443167554618,50,0.3,1,0.9,1.0,2,0.6,0.8,6800.0,5,0.33653846200000004,max,mid_0,0.000274,51.26209742377916,30.0,10.0,50,0.25,9.295160030897809e-05
33,Pearl,305788.20075879863,0.3459525269329893,1000,1000,2.8600000000000004e-05,0.001,0.022,0.4999443167554618,50,0.3,1,0.9,1.0,2,0.6,0.8,6800.0,5,0.33653846200000004,mid_0,max,0.000274,51.26209742377916,5.477225575051661,10.0,81,0.25,0.001
34,Pearl,305788.20075879863,0.3459525269329893,1000,1000,2.8600000000000004e-05,0.001,0.022,0.4999443167554618,50,0.3,1,0.9,1.0,2,0.6,0.8,6800.0,5,0.33653846200000004,mid_0,min,0.000274,51.26209742377916,5.477225575051661,10.0,81,0.25,8.64e-06
35,Pearl,305788.20075879863,0.3459525269329893,1000,1000,2.8600000000000004e-05,0.001,0.022,0.4999443167554618,50,0.3,1,0.9,1.0,2,0.6,0.8,6800.0,5,0.33653846200000004,mid_0,mid_0,0.000274,51.26209742377916,5.477225575051661,10.0,81,0.25,9.295160030897809e-05
