0,par
0,base
1,N_pal-
2,t_tra+
3,f_aqt+
4,l_conf-
5,H_b-
6,Kv_aqt+
7,N_aqt+
8,beta+
9,l_a+
10,f_chan-
11,Kh_aqf-
12,phi_f+
13,f_H+
14,f_Kh_pal-
15,N_chan-
16,a_l-
17,alpha-
18,s_pal-
19,l_surf_end-
20,Kh_Kv-
21,l_tra+
22,R-
23,n+
24,base
25,f_H-
26,N_chan+
27,l_conf-
28,beta+
29,N_pal+
30,R+
31,l_surf_end+
32,Kh_aqf+
33,l_a-
34,N_aqt-
35,f_Kh_pal-
36,f_aqt+
37,f_chan+
38,a_l-
39,phi_f-
40,n+
41,t_tra-
42,H_b-
43,l_tra-
44,s_pal-
45,Kv_aqt+
46,Kh_Kv-
47,alpha-
48,base
49,s_pal+
50,l_conf+
51,l_a-
52,phi_f-
53,n+
54,f_H+
55,l_surf_end+
56,alpha-
57,N_aqt-
58,f_aqt-
59,R+
60,l_tra+
61,f_chan-
62,N_chan-
63,H_b+
64,beta-
65,a_l+
66,f_Kh_pal+
67,Kh_aqf-
68,N_pal+
69,Kh_Kv-
70,Kv_aqt-
71,t_tra-
72,base
73,phi_f-
74,n-
75,beta-
76,alpha+
77,Kv_aqt+
78,l_a+
79,s_pal+
80,a_l-
81,Kh_aqf+
82,l_tra+
83,f_H+
84,t_tra+
85,f_Kh_pal-
86,N_pal-
87,N_aqt-
88,R+
89,N_chan+
90,l_conf+
91,f_aqt-
92,f_chan-
93,Kh_Kv+
94,l_surf_end+
95,H_b-
96,base
97,phi_f+
98,t_tra-
99,Kh_Kv-
100,Kv_aqt-
101,n+
102,H_b+
103,f_aqt-
104,l_conf-
105,beta+
106,f_chan+
107,s_pal-
108,alpha+
109,l_tra+
110,R-
111,a_l-
112,l_a+
113,l_surf_end-
114,Kh_aqf+
115,N_chan-
116,f_H+
117,N_pal-
118,f_Kh_pal+
119,N_aqt+
120,base
121,Kh_Kv+
122,alpha-
123,H_b-
124,Kv_aqt-
125,f_chan+
126,f_Kh_pal+
127,l_tra+
128,a_l-
129,f_H-
130,t_tra-
131,N_pal-
132,l_conf+
133,f_aqt-
134,l_a-
135,N_aqt-
136,l_surf_end+
137,n-
138,s_pal+
139,Kh_aqf-
140,beta-
141,N_chan+
142,phi_f+
143,R-
144,base
145,Kh_Kv-
146,t_tra+
147,Kv_aqt+
148,Kh_aqf+
149,f_aqt+
150,f_chan-
151,H_b-
152,l_tra+
153,R+
154,f_H+
155,l_a-
156,alpha+
157,N_chan+
158,f_Kh_pal-
159,s_pal-
160,l_surf_end-
161,l_conf-
162,N_pal+
163,n-
164,beta+
165,a_l+
166,phi_f-
167,N_aqt-
168,base
169,phi_f+
170,f_chan-
171,R-
172,l_tra-
173,beta+
174,N_aqt+
175,l_conf+
176,alpha+
177,Kv_aqt+
178,l_a-
179,f_Kh_pal+
180,Kh_aqf+
181,N_pal+
182,n-
183,H_b+
184,s_pal-
185,f_aqt-
186,l_surf_end-
187,N_chan-
188,t_tra+
189,a_l+
190,Kh_Kv+
191,f_H+
192,base
193,t_tra-
194,l_a-
195,f_H-
196,phi_f-
197,N_pal+
198,s_pal+
199,Kh_aqf-
200,n+
201,l_conf+
202,a_l+
203,alpha-
204,beta-
205,l_tra-
206,f_aqt-
207,f_Kh_pal-
208,H_b+
209,f_chan+
210,N_aqt+
211,Kv_aqt+
212,Kh_Kv+
213,R-
214,l_surf_end-
215,N_chan-
216,base
217,N_aqt+
218,phi_f+
219,f_Kh_pal-
220,Kh_aqf+
221,n+
222,N_pal-
223,l_surf_end-
224,a_l+
225,f_chan+
226,beta+
227,l_a+
228,l_tra-
229,R+
230,f_aqt+
231,Kh_Kv+
232,f_H-
233,alpha-
234,t_tra+
235,Kv_aqt-
236,l_conf+
237,s_pal-
238,H_b+
239,N_chan+
240,base
241,s_pal+
242,Kh_aqf-
243,H_b+
244,f_aqt+
245,l_conf-
246,f_chan+
247,R+
248,n-
249,l_surf_end+
250,f_Kh_pal+
251,N_aqt-
252,Kh_Kv-
253,Kv_aqt-
254,phi_f-
255,N_chan+
256,f_H-
257,t_tra+
258,l_tra-
259,beta-
260,a_l+
261,alpha+
262,N_pal-
263,l_a+
264,base
265,n-
266,R-
267,phi_f+
268,t_tra-
269,N_aqt+
270,l_tra-
271,f_aqt+
272,l_conf-
273,l_a+
274,alpha+
275,Kh_aqf-
276,beta-
277,f_Kh_pal+
278,s_pal+
279,a_l-
280,f_chan-
281,H_b-
282,Kh_Kv+
283,Kv_aqt-
284,N_chan-
285,f_H-
286,l_surf_end+
287,N_pal+
