,Delta,L,l_a,alpha,beta,gamma,phi,H_b,H_a/H_b,N_aqt,Mud/Total,l_conf,N_pal,s_pal,l_tra,t_max,N_chan,l_sal,Kaqf_type,Kaqt_type,Recharge,riv_c,n,Anisotropy,Kaqf,index,Kaqt
19,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,min,max,0.0004999999999999999,424.26406871192825,0.3,10.0,0.1,22,0.1
20,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,min,mid_0,0.0004999999999999999,424.26406871192825,0.3,10.0,0.1,22,0.01
21,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,max,min,0.0004999999999999999,424.26406871192825,0.3,10.0,100.0,53,0.001
22,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,max,max,0.0004999999999999999,424.26406871192825,0.3,10.0,100.0,53,0.1
23,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,max,mid_0,0.0004999999999999999,424.26406871192825,0.3,10.0,100.0,53,0.01
24,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,mid_0,min,0.0004999999999999999,424.26406871192825,0.3,10.0,3.1622776601683795,84,0.001
25,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,mid_0,max,0.0004999999999999999,424.26406871192825,0.3,10.0,3.1622776601683795,84,0.1
26,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,mid_0,mid_0,0.0004999999999999999,424.26406871192825,0.3,10.0,3.1622776601683795,84,0.01
27,Pearl,380.0,0.34210526315789475,2.857142857142857e-05,0.001,0.022,0.7343476676364384,50,0.3,1.0,0.9,1.0,2.0,0.6,0.8,6800.0,5,0.33653846153846156,min,min,0.00027378507871321,51.262046943365384,0.25,10.0,1.0,19,8.64e-06
28,Pearl,380.0,0.34210526315789475,2.857142857142857e-05,0.001,0.022,0.7343476676364384,50,0.3,1.0,0.9,1.0,2.0,0.6,0.8,6800.0,5,0.33653846153846156,min,max,0.00027378507871321,51.262046943365384,0.25,10.0,1.0,19,0.001
